,row,col,frozen_col,readable,seeded_doc,user_id,condition,round,action,actor,time
0,other,labor | use,False,"31. But for seeding and harvesting, it mostly comes from hired labor.",False,0,treatment,0,create_cluster,human,1668028186.439646
1,other,labor | use,False,42. Some of them buy batteuse-ASI (mini-thresher).,False,0,treatment,0,create_cluster,human,1668028186.439646
2,other,early | rice,False,3. Dr. Fall expects him to harvest early.,False,0,treatment,0,create_cluster,human,1668028186.439646
3,other,early | rice,False,"7. Suppose that Mr. A has harvested, but he hasn't repaid his coop yet.",False,0,treatment,0,create_cluster,human,1668028186.439646
4,other,early | rice,False,41. It's because they harvest late and they don't have time to go for labor.,False,0,treatment,0,create_cluster,human,1668028186.439646
5,other,early | rice,False,"66. Pape has seen this year some harvesters that are being financed by banks, but the one who owns the harvester has to pay back the loan.",False,0,treatment,0,create_cluster,human,1668028186.439646
6,other,early | rice,False,"69. At the start of June there's plenty available, but by July all the harvesters have gone.",False,0,treatment,0,create_cluster,human,1668028186.439646
7,other,early | rice,False,"76. He knows of two coops who got paid back 50% and thinks this is fair since they harvested, after all.",False,0,treatment,0,create_cluster,human,1668028186.439646
8,other,equipment | service,False,"13. Financing line in any bank they choose, to support startup costs and subsidize through credit for farmers, e.g. for new equipment, etc.",False,0,treatment,0,create_cluster,human,1668028186.439646
9,other,equipment | service,False,"14. For improving the system itself, farmers need to be pushed to get access to equipment.",False,0,treatment,0,create_cluster,human,1668028186.439646
10,other,equipment | service,False,"19.  Diagram time During harvest, there's a few factors to consider.",False,0,treatment,0,create_cluster,human,1668028186.439646
11,other,equipment | service,False,"47. Not able to predict the level of production in the future due to uncertain factors, e.g. do farmers have access to inputs, does the credit come in on time, do farmers use technology and machinery or not all of these factors constrain the area cultivated.",False,0,treatment,0,create_cluster,human,1668028186.439646
12,other,equipment | service,False,"48. Another issue is the access to mechanization services, e.g. for harvest; service providers are not always ready on time to provide the services farmers need.",False,0,treatment,0,create_cluster,human,1668028186.439646
13,other,equipment | service,False,"51. You have to make sure to harvest on time, clean up the plot, that you have the money to get the inputs you need on time (you have your own money or you go to another lender), etc.",False,0,treatment,0,create_cluster,human,1668028186.439646
14,other,equipment | service,False,"61. Even if they sow early, they might not have access to a harvester, so they might be waiting for a month to get access.",False,0,treatment,0,create_cluster,human,1668028186.439646
15,other,equipment | service,False,65. Access to harvesters is a financial problem.,False,0,treatment,0,create_cluster,human,1668028186.439646
16,other,equipment | service,False,"79. They're part of a subregional task force on rice and agriculture equipment, including Mali, etc.",False,0,treatment,0,create_cluster,human,1668028186.439646
17,other,labor,True,"31. But for seeding and harvesting, it mostly comes from hired labor.",True,0,treatment,0,create_cluster,human,1668028186.439646
18,other,labor,True,41. It's because they harvest late and they don't have time to go for labor.,True,0,treatment,0,create_cluster,human,1668028186.439646
